,conf,currYr,label,source,value,year,unit,doc_companieshouseregisterednumber
18,96.0,1.0,Accruals and deferred income,Accruals and deferred income 15 15260017 15726656,15260017,2016.0,£,./example_data_PDF/02959325.pdf
19,96.0,0.0,Accruals and deferred income,Accruals and deferred income 15 15260017 15726656,15726656,2015.0,£,./example_data_PDF/02959325.pdf
20,96.0,1.0,NET ASSETS,NET ASSETS 66198800 57705649,66198800,2016.0,£,./example_data_PDF/02959325.pdf
21,91.0,0.0,NET ASSETS,NET ASSETS 66198800 57705649,57705649,2015.0,£,./example_data_PDF/02959325.pdf
22,96.0,1.0,Equity share capital,Equity share capital 17 316985 316985,316985,2016.0,£,./example_data_PDF/02959325.pdf
23,96.0,0.0,Equity share capital,Equity share capital 17 316985 316985,316985,2015.0,£,./example_data_PDF/02959325.pdf
24,96.0,1.0,Share premium,Share premium 18 330789024 330789024,330789024,2016.0,£,./example_data_PDF/02959325.pdf
25,96.0,0.0,Share premium,Share premium 18 330789024 330789024,330789024,2015.0,£,./example_data_PDF/02959325.pdf
26,67.0,1.0,Retained deficit,Retained deficit 19 264907209 273400360,264907209,2016.0,£,./example_data_PDF/02959325.pdf
27,90.0,0.0,Retained deficit,Retained deficit 19 264907209 273400360,273400360,2015.0,£,./example_data_PDF/02959325.pdf
28,94.0,1.0,SHAREHOLDERS FUNDS,SHAREHOLDERS FUNDS 66198800 57705649,66198800,2016.0,£,./example_data_PDF/02959325.pdf
29,96.0,0.0,SHAREHOLDERS FUNDS,SHAREHOLDERS FUNDS 66198800 57705649,57705649,2015.0,£,./example_data_PDF/02959325.pdf
0,96.0,1.0,Tangible assets,Tangible assets 10 8199740 7640998,8199740,2016.0,£,./example_data_PDF/01539777.pdf
1,96.0,0.0,Tangible assets,Tangible assets 10 8199740 7640998,7640998,2015.0,£,./example_data_PDF/01539777.pdf
2,96.0,1.0,Investments,Investments 11 34876 34876,34876,2016.0,£,./example_data_PDF/01539777.pdf
3,95.0,0.0,Investments,Investments 11 34876 34876,34876,2015.0,£,./example_data_PDF/01539777.pdf
4,96.0,1.0,Debtors amounts falling due after more than one year,than one year 12 44250,12,2016.0,£,./example_data_PDF/01539777.pdf
5,96.0,0.0,Debtors amounts falling due after more than one year,than one year 12 44250,44250,2015.0,£,./example_data_PDF/01539777.pdf
6,96.0,1.0,Debtors amounts falling due within one year,year 12 1673094 1707636,1673094,2016.0,£,./example_data_PDF/01539777.pdf
7,96.0,0.0,Debtors amounts falling due within one year,year 12 1673094 1707636,1707636,2015.0,£,./example_data_PDF/01539777.pdf
8,95.0,1.0,Cash at bank and in hand,Cash at bank and in hand 5790826 4295555,5790826,2016.0,£,./example_data_PDF/01539777.pdf
9,94.0,0.0,Cash at bank and in hand,Cash at bank and in hand 5790826 4295555,4295555,2015.0,£,./example_data_PDF/01539777.pdf
10,96.0,1.0,Creditors amounts falling due within one year,year 13 5227962 4600527,5227962,2016.0,£,./example_data_PDF/01539777.pdf
11,96.0,0.0,Creditors amounts falling due within one year,year 13 5227962 4600527,4600527,2015.0,£,./example_data_PDF/01539777.pdf
12,96.0,1.0,Net current assets,Net current assets 2280208 1402664,2280208,2016.0,£,./example_data_PDF/01539777.pdf
13,96.0,0.0,Net current assets,Net current assets 2280208 1402664,1402664,2015.0,£,./example_data_PDF/01539777.pdf
14,96.0,1.0,Total assets less current liabilities,Total assets less current liabilities 10514824 9078538,10514824,2016.0,£,./example_data_PDF/01539777.pdf
15,96.0,0.0,Total assets less current liabilities,Total assets less current liabilities 10514824 9078538,9078538,2015.0,£,./example_data_PDF/01539777.pdf
16,96.0,1.0,Creditors amounts falling due after more than one year,than one year 14 1219421 1044579,1219421,2016.0,£,./example_data_PDF/01539777.pdf
17,96.0,0.0,Creditors amounts falling due after more than one year,than one year 14 1219421 1044579,1044579,2015.0,£,./example_data_PDF/01539777.pdf
18,96.0,1.0,Net assets,Net assets 9295403 8033959,9295403,2016.0,£,./example_data_PDF/01539777.pdf
19,96.0,0.0,Net assets,Net assets 9295403 8033959,8033959,2015.0,£,./example_data_PDF/01539777.pdf
20,96.0,1.0,Called up share capital,Called up share capital 17 1000 1000,1000,2016.0,£,./example_data_PDF/01539777.pdf
21,94.0,0.0,Called up share capital,Called up share capital 17 1000 1000,1000,2015.0,£,./example_data_PDF/01539777.pdf
22,96.0,1.0,Profit and loss account,Profit and loss account 9294403 8032959,9294403,2016.0,£,./example_data_PDF/01539777.pdf
23,96.0,0.0,Profit and loss account,Profit and loss account 9294403 8032959,8032959,2015.0,£,./example_data_PDF/01539777.pdf
24,44.0,1.0,Date,Date 6 614,6,2016.0,£,./example_data_PDF/01539777.pdf
25,65.0,0.0,Date,Date 6 614,614,2015.0,£,./example_data_PDF/01539777.pdf
0,96.0,1.0,Goodwill o,Goodwill o 4470000 270000,4470000,2017.0,£,./example_data_PDF/1983517.pdf
1,96.0,0.0,Goodwill o,Goodwill o 4470000 270000,270000,2016.0,£,./example_data_PDF/1983517.pdf
2,94.0,1.0,Tangible assets,Tangible assets 758410 649811,758410,2017.0,£,./example_data_PDF/1983517.pdf
3,96.0,0.0,Tangible assets,Tangible assets 758410 649811,649811,2016.0,£,./example_data_PDF/1983517.pdf
4,96.0,1.0,Stocks,Stocks 11 38614590 37094713,38614590,2017.0,£,./example_data_PDF/1983517.pdf
5,96.0,0.0,Stocks,Stocks 11 38614590 37094713,37094713,2016.0,£,./example_data_PDF/1983517.pdf
6,95.0,1.0,Debtors,Debtors 12 6635985 3153175,6635985,2017.0,£,./example_data_PDF/1983517.pdf
7,95.0,0.0,Debtors,Debtors 12 6635985 3153175,3153175,2016.0,£,./example_data_PDF/1983517.pdf
8,96.0,1.0,Cash at bank and in hand,Cash at bank and in hand 3863767 5517998,3863767,2017.0,£,./example_data_PDF/1983517.pdf
9,95.0,0.0,Cash at bank and in hand,Cash at bank and in hand 3863767 5517998,5517998,2016.0,£,./example_data_PDF/1983517.pdf
10,93.0,1.0,Creditors amounts falling due within one year,one year 38409179 37117733,38409179,2017.0,£,./example_data_PDF/1983517.pdf
11,95.0,0.0,Creditors amounts falling due within one year,one year 38409179 37117733,37117733,2016.0,£,./example_data_PDF/1983517.pdf
12,96.0,1.0,Net current assets,Net current assets 10705163 8648153,10705163,2017.0,£,./example_data_PDF/1983517.pdf
13,95.0,0.0,Net current assets,Net current assets 10705163 8648153,8648153,2016.0,£,./example_data_PDF/1983517.pdf
14,96.0,1.0,Total assets less current liabilities,Total assets less current liabilities 15933573 9567964,15933573,2017.0,£,./example_data_PDF/1983517.pdf
15,96.0,0.0,Total assets less current liabilities,Total assets less current liabilities 15933573 9567964,9567964,2016.0,£,./example_data_PDF/1983517.pdf
16,96.0,1.0,Called up share capital,Called up share capital 15 100 100,100,2017.0,£,./example_data_PDF/1983517.pdf
17,96.0,0.0,Called up share capital,Called up share capital 15 100 100,100,2016.0,£,./example_data_PDF/1983517.pdf
18,94.0,1.0,Profit and loss reserves,Profit and loss reserves 15933473 9567864,15933473,2017.0,£,./example_data_PDF/1983517.pdf
19,96.0,0.0,Profit and loss reserves,Profit and loss reserves 15933473 9567864,9567864,2016.0,£,./example_data_PDF/1983517.pdf
20,95.0,1.0,Total equity,Total equity 15933573 9567964,15933573,2017.0,£,./example_data_PDF/1983517.pdf
21,95.0,0.0,Total equity,Total equity 15933573 9567964,9567964,2016.0,£,./example_data_PDF/1983517.pdf
0,96.0,1.0,Tangible assets,Tangible assets 10 358613 35963,358613,2015.0,£,./example_data_PDF/02266230.pdf
1,96.0,0.0,Tangible assets,Tangible assets 10 358613 35963,35963,2014.0,£,./example_data_PDF/02266230.pdf
2,95.0,1.0,Stocks,Stocks 11 657735 404931,657735,2015.0,£,./example_data_PDF/02266230.pdf
3,96.0,0.0,Stocks,Stocks 11 657735 404931,404931,2014.0,£,./example_data_PDF/02266230.pdf
4,96.0,1.0,Debtors,Debtors 12 19626898 36195849,19626898,2015.0,£,./example_data_PDF/02266230.pdf
5,96.0,0.0,Debtors,Debtors 12 19626898 36195849,36195849,2014.0,£,./example_data_PDF/02266230.pdf
6,96.0,1.0,Cash at bank and in hand,Cash at bank and in hand 953 4003,953,2015.0,£,./example_data_PDF/02266230.pdf
7,96.0,0.0,Cash at bank and in hand,Cash at bank and in hand 953 4003,4003,2014.0,£,./example_data_PDF/02266230.pdf
8,96.0,1.0,CREDITORS amounts falling due within one year,one year 13 18180602 33569518,18180602,2015.0,£,./example_data_PDF/02266230.pdf
9,75.0,0.0,CREDITORS amounts falling due within one year,one year 13 18180602 33569518,33569518,2014.0,£,./example_data_PDF/02266230.pdf
10,96.0,1.0,NET CURRENT ASSETS,NET CURRENT ASSETS 2104984 3035265,2104984,2015.0,£,./example_data_PDF/02266230.pdf
11,95.0,0.0,NET CURRENT ASSETS,NET CURRENT ASSETS 2104984 3035265,3035265,2014.0,£,./example_data_PDF/02266230.pdf
12,96.0,1.0,TOTAL ASSETS LESS CURRENT LIABILITIES,TOTAL ASSETS LESS CURRENT LIABILITIES 2463597 3071228,2463597,2015.0,£,./example_data_PDF/02266230.pdf
13,95.0,0.0,TOTAL ASSETS LESS CURRENT LIABILITIES,TOTAL ASSETS LESS CURRENT LIABILITIES 2463597 3071228,3071228,2014.0,£,./example_data_PDF/02266230.pdf
14,96.0,1.0,Other provisions,Other provisions 15 452315 428128,452315,2015.0,£,./example_data_PDF/02266230.pdf
15,96.0,0.0,Other provisions,Other provisions 15 452315 428128,428128,2014.0,£,./example_data_PDF/02266230.pdf
16,93.0,1.0,NET ASSETS,NET ASSETS 2009849 2643100,2009849,2015.0,£,./example_data_PDF/02266230.pdf
17,96.0,0.0,NET ASSETS,NET ASSETS 2009849 2643100,2643100,2014.0,£,./example_data_PDF/02266230.pdf
18,96.0,1.0,Called up share capital,Called up share capital 19 10000 10000,10000,2015.0,£,./example_data_PDF/02266230.pdf
19,96.0,0.0,Called up share capital,Called up share capital 19 10000 10000,10000,2014.0,£,./example_data_PDF/02266230.pdf
20,96.0,1.0,Capital redemption reserve,Capital redemption reserve 20 50 50,50,2015.0,£,./example_data_PDF/02266230.pdf
21,97.0,0.0,Capital redemption reserve,Capital redemption reserve 20 50 50,50,2014.0,£,./example_data_PDF/02266230.pdf
22,96.0,1.0,Profit and loss account,Profit and loss account 20 1999799 2633050,1999799,2015.0,£,./example_data_PDF/02266230.pdf
23,96.0,0.0,Profit and loss account,Profit and loss account 20 1999799 2633050,2633050,2014.0,£,./example_data_PDF/02266230.pdf
24,96.0,1.0,SHAREHOLDERS FUNDS,SHAREHOLDERS FUNDS 21 2009849 2643100,2009849,2015.0,£,./example_data_PDF/02266230.pdf
25,96.0,0.0,SHAREHOLDERS FUNDS,SHAREHOLDERS FUNDS 21 2009849 2643100,2643100,2014.0,£,./example_data_PDF/02266230.pdf
0,96.0,1.0,Note,Note 000 000,000,2016.0,£000,./example_data_PDF/983951.pdf
1,96.0,0.0,Note,Note 000 000,000,2015.0,£000,./example_data_PDF/983951.pdf
2,96.0,1.0,Intangible assets,Intangible assets 20425 23268,20425,2016.0,£000,./example_data_PDF/983951.pdf
3,96.0,0.0,Intangible assets,Intangible assets 20425 23268,23268,2015.0,£000,./example_data_PDF/983951.pdf
4,95.0,1.0,Tangible assets,Tangible assets 11457 11156,11457,2016.0,£000,./example_data_PDF/983951.pdf
5,92.0,0.0,Tangible assets,Tangible assets 11457 11156,11156,2015.0,£000,./example_data_PDF/983951.pdf
6,93.0,1.0,Deferred tax asset,Deferred tax asset 4755 4581,4755,2016.0,£000,./example_data_PDF/983951.pdf
7,52.0,0.0,Deferred tax asset,Deferred tax asset 4755 4581,4581,2015.0,£000,./example_data_PDF/983951.pdf
8,94.0,1.0,Stocks,Stocks 16 4677 4843,4677,2016.0,£000,./example_data_PDF/983951.pdf
9,94.0,0.0,Stocks,Stocks 16 4677 4843,4843,2015.0,£000,./example_data_PDF/983951.pdf
10,87.0,1.0,Debtors,Debtors 17 49750 54297,49750,2016.0,£000,./example_data_PDF/983951.pdf
11,96.0,0.0,Debtors,Debtors 17 49750 54297,54297,2015.0,£000,./example_data_PDF/983951.pdf
12,96.0,1.0,Cash at bank and in hand,Cash at bank and in hand 2559 492,2559,2016.0,£000,./example_data_PDF/983951.pdf
13,96.0,0.0,Cash at bank and in hand,Cash at bank and in hand 2559 492,492,2015.0,£000,./example_data_PDF/983951.pdf
14,96.0,1.0,Creditors Amounts falling due within one year,Creditors Amounts falling due within one year 76850 54753,76850,2016.0,£000,./example_data_PDF/983951.pdf
15,96.0,0.0,Creditors Amounts falling due within one year,Creditors Amounts falling due within one year 76850 54753,54753,2015.0,£000,./example_data_PDF/983951.pdf
16,95.0,1.0,Net current assetsliabilities,Net current assetsliabilities 19864 4879,19864,2016.0,£000,./example_data_PDF/983951.pdf
17,96.0,0.0,Net current assetsliabilities,Net current assetsliabilities 19864 4879,4879,2015.0,£000,./example_data_PDF/983951.pdf
18,96.0,1.0,Total assets less current liabilities,Total assets less current liabilities 16784 43884,16784,2016.0,£000,./example_data_PDF/983951.pdf
19,96.0,0.0,Total assets less current liabilities,Total assets less current liabilities 16784 43884,43884,2015.0,£000,./example_data_PDF/983951.pdf
20,96.0,1.0,Creditors Amounts falling due after more than one year,Creditors Amounts falling due after more than one year 20  29019,20,2016.0,£000,./example_data_PDF/983951.pdf
21,64.0,0.0,Creditors Amounts falling due after more than one year,Creditors Amounts falling due after more than one year 20  29019,29019,2015.0,£000,./example_data_PDF/983951.pdf
22,96.0,1.0,Provision for liabilities,Provision for liabilities 19 719 1770,719,2016.0,£000,./example_data_PDF/983951.pdf
23,96.0,0.0,Provision for liabilities,Provision for liabilities 19 719 1770,1770,2015.0,£000,./example_data_PDF/983951.pdf
24,96.0,1.0,Pension assetliability,Pension assetliability 9301 152,9301,2016.0,£000,./example_data_PDF/983951.pdf
25,96.0,0.0,Pension assetliability,Pension assetliability 9301 152,152,2015.0,£000,./example_data_PDF/983951.pdf
26,96.0,1.0,Net assets,Net assets 6764 13217,6764,2016.0,£000,./example_data_PDF/983951.pdf
27,96.0,0.0,Net assets,Net assets 6764 13217,13217,2015.0,£000,./example_data_PDF/983951.pdf
28,96.0,1.0,Called up share capital,Called up share capital 22 137 137,137,2016.0,£000,./example_data_PDF/983951.pdf
29,96.0,0.0,Called up share capital,Called up share capital 22 137 137,137,2015.0,£000,./example_data_PDF/983951.pdf
30,96.0,1.0,Capital reserve,Capital reserve 164 164,164,2016.0,£000,./example_data_PDF/983951.pdf
31,96.0,0.0,Capital reserve,Capital reserve 164 164,164,2015.0,£000,./example_data_PDF/983951.pdf
32,96.0,1.0,Profit and loss account,Profit and loss account 6463 12916,6463,2016.0,£000,./example_data_PDF/983951.pdf
33,96.0,0.0,Profit and loss account,Profit and loss account 6463 12916,12916,2015.0,£000,./example_data_PDF/983951.pdf
34,96.0,1.0,Shareholders funds,Shareholders funds 6764 13217,6764,2016.0,£000,./example_data_PDF/983951.pdf
35,96.0,0.0,Shareholders funds,Shareholders funds 6764 13217,13217,2015.0,£000,./example_data_PDF/983951.pdf
0,69.0,1.0,Note,Note 000 7000,000,2016.0,£’000,./example_data_PDF/09457025.pdf
1,24.0,0.0,Note,Note 000 7000,7000,2015.0,£’000,./example_data_PDF/09457025.pdf
2,96.0,1.0,Tangible assets,Tangible assets 13 171 419,171,2016.0,£’000,./example_data_PDF/09457025.pdf
3,96.0,0.0,Tangible assets,Tangible assets 13 171 419,419,2015.0,£’000,./example_data_PDF/09457025.pdf
4,96.0,1.0,Debtors .,Debtors . 14 9995 6000,9995,2016.0,£’000,./example_data_PDF/09457025.pdf
5,95.0,0.0,Debtors .,Debtors . 14 9995 6000,6000,2015.0,£’000,./example_data_PDF/09457025.pdf
6,96.0,1.0,Cash at bank and in hand,Cash at bank and in hand 554 11963,554,2016.0,£’000,./example_data_PDF/09457025.pdf
7,87.0,0.0,Cash at bank and in hand,Cash at bank and in hand 554 11963,11963,2015.0,£’000,./example_data_PDF/09457025.pdf
8,96.0,1.0,Creditors Amounts falling due within  year,Creditors Amounts falling due within 1 year 15 10208 13700,10208,2016.0,£’000,./example_data_PDF/09457025.pdf
9,96.0,0.0,Creditors Amounts falling due within  year,Creditors Amounts falling due within 1 year 15 10208 13700,13700,2015.0,£’000,./example_data_PDF/09457025.pdf
10,96.0,1.0,Net current assets,Net current assets 5341 4263,5341,2016.0,£’000,./example_data_PDF/09457025.pdf
11,76.0,0.0,Net current assets,Net current assets 5341 4263,4263,2015.0,£’000,./example_data_PDF/09457025.pdf
12,96.0,1.0,Total assets less current liabilities,Total assets less current liabilities 5646 4682,5646,2016.0,£’000,./example_data_PDF/09457025.pdf
13,94.0,0.0,Total assets less current liabilities,Total assets less current liabilities 5646 4682,4682,2015.0,£’000,./example_data_PDF/09457025.pdf
14,96.0,1.0,Provisions for liabilities,Provisions for liabilities 16 3735 1868,3735,2016.0,£’000,./example_data_PDF/09457025.pdf
15,96.0,0.0,Provisions for liabilities,Provisions for liabilities 16 3735 1868,1868,2015.0,£’000,./example_data_PDF/09457025.pdf
16,96.0,1.0,Net Assets,Net Assets 1911 2814,1911,2016.0,£’000,./example_data_PDF/09457025.pdf
17,96.0,0.0,Net Assets,Net Assets 1911 2814,2814,2015.0,£’000,./example_data_PDF/09457025.pdf
18,96.0,1.0,Share premium account,Share premium account 813 813,813,2016.0,£’000,./example_data_PDF/09457025.pdf
19,96.0,0.0,Share premium account,Share premium account 813 813,813,2015.0,£’000,./example_data_PDF/09457025.pdf
20,96.0,1.0,Profit and loss account,Profit and loss account 1098 2001,1098,2016.0,£’000,./example_data_PDF/09457025.pdf
21,96.0,0.0,Profit and loss account,Profit and loss account 1098 2001,2001,2015.0,£’000,./example_data_PDF/09457025.pdf
22,96.0,1.0,Shareholders funds,Shareholders funds 1911 2814,1911,2016.0,£’000,./example_data_PDF/09457025.pdf
23,96.0,0.0,Shareholders funds,Shareholders funds 1911 2814,2814,2015.0,£’000,./example_data_PDF/09457025.pdf
0,93.0,1.0,Note,Note 2015 2014,2015,2015.0,£000,./example_data_PDF/868273.pdf
1,96.0,0.0,Note,Note 2015 2014,2014,2014.0,£000,./example_data_PDF/868273.pdf
2,96.0,1.0,Intangible assets,Intangible assets 10 48556 52446,48556,2015.0,£000,./example_data_PDF/868273.pdf
3,96.0,0.0,Intangible assets,Intangible assets 10 48556 52446,52446,2014.0,£000,./example_data_PDF/868273.pdf
4,95.0,1.0,Tangible assets,Tangible assets 13 65092 61439,65092,2015.0,£000,./example_data_PDF/868273.pdf
5,72.0,0.0,Tangible assets,Tangible assets 13 65092 61439,61439,2014.0,£000,./example_data_PDF/868273.pdf
6,95.0,1.0,Investments in subsidiaries,Investments in subsidiaries 11 569073 569073,569073,2015.0,£000,./example_data_PDF/868273.pdf
7,95.0,0.0,Investments in subsidiaries,Investments in subsidiaries 11 569073 569073,569073,2014.0,£000,./example_data_PDF/868273.pdf
8,96.0,1.0,Investments in joint ventures and associates,Investments in joint ventures and associates 12 6133 6133,6133,2015.0,£000,./example_data_PDF/868273.pdf
9,95.0,0.0,Investments in joint ventures and associates,Investments in joint ventures and associates 12 6133 6133,6133,2014.0,£000,./example_data_PDF/868273.pdf
10,96.0,1.0,Stocks,Stocks 14 101367 88573,101367,2015.0,£000,./example_data_PDF/868273.pdf
11,95.0,0.0,Stocks,Stocks 14 101367 88573,88573,2014.0,£000,./example_data_PDF/868273.pdf
12,96.0,1.0,Debtors,Debtors 1301011 974554,1301011,2015.0,£000,./example_data_PDF/868273.pdf
13,96.0,0.0,Debtors,Debtors 1301011 974554,974554,2014.0,£000,./example_data_PDF/868273.pdf
14,94.0,1.0,Cash and cash equivalents,Cash and cash equivalents 17 29192 381791,29192,2015.0,£000,./example_data_PDF/868273.pdf
15,96.0,0.0,Cash and cash equivalents,Cash and cash equivalents 17 29192 381791,381791,2014.0,£000,./example_data_PDF/868273.pdf
16,96.0,1.0,Total assets,Total assets 2121164 2134009,2121164,2015.0,£000,./example_data_PDF/868273.pdf
17,95.0,0.0,Total assets,Total assets 2121164 2134009,2134009,2014.0,£000,./example_data_PDF/868273.pdf
18,96.0,1.0,Creditors,Creditors 1239528 1328505,1239528,2015.0,£000,./example_data_PDF/868273.pdf
19,96.0,0.0,Creditors,Creditors 1239528 1328505,1328505,2014.0,£000,./example_data_PDF/868273.pdf
20,96.0,1.0,Net current assets,Net current assets 192042 116413,192042,2015.0,£000,./example_data_PDF/868273.pdf
21,96.0,0.0,Net current assets,Net current assets 192042 116413,116413,2014.0,£000,./example_data_PDF/868273.pdf
22,96.0,1.0,Total assets less current liabilities,Total assets less current liabilities 881636 805504,881636,2015.0,£000,./example_data_PDF/868273.pdf
23,91.0,0.0,Total assets less current liabilities,Total assets less current liabilities 881636 805504,805504,2014.0,£000,./example_data_PDF/868273.pdf
24,96.0,1.0,Provisions for liabilities,Provisions for liabilities 19 77646 80829,77646,2015.0,£000,./example_data_PDF/868273.pdf
25,95.0,0.0,Provisions for liabilities,Provisions for liabilities 19 77646 80829,80829,2014.0,£000,./example_data_PDF/868273.pdf
26,95.0,1.0,Retirement benefit obligations,Retirement benefit obligations 20 709700 877000,709700,2015.0,£000,./example_data_PDF/868273.pdf
27,96.0,0.0,Retirement benefit obligations,Retirement benefit obligations 20 709700 877000,877000,2014.0,£000,./example_data_PDF/868273.pdf
28,95.0,1.0,Total liabilities,Total liabilities 2026874 2286334,2026874,2015.0,£000,./example_data_PDF/868273.pdf
29,95.0,0.0,Total liabilities,Total liabilities 2026874 2286334,2286334,2014.0,£000,./example_data_PDF/868273.pdf
30,96.0,1.0,Net assetsliabilities,Net assetsliabilities 94290 152325,94290,2015.0,£000,./example_data_PDF/868273.pdf
31,95.0,0.0,Net assetsliabilities,Net assetsliabilities 94290 152325,152325,2014.0,£000,./example_data_PDF/868273.pdf
0,95.0,1.0,Note,Note 2015 2014,2015,2015.0,£000,./example_data_PDF/868273.pdf
1,94.0,0.0,Note,Note 2015 2014,2014,2014.0,£000,./example_data_PDF/868273.pdf
2,96.0,1.0,Called up share capital,Called up share capital 22 481938 481938,481938,2015.0,£000,./example_data_PDF/868273.pdf
3,96.0,0.0,Called up share capital,Called up share capital 22 481938 481938,481938,2014.0,£000,./example_data_PDF/868273.pdf
4,96.0,1.0,Share premium account,Share premium account 92906 92906,92906,2015.0,£000,./example_data_PDF/868273.pdf
5,96.0,0.0,Share premium account,Share premium account 92906 92906,92906,2014.0,£000,./example_data_PDF/868273.pdf
6,96.0,1.0,Other reserves,Other reserves 440000 440000,440000,2015.0,£000,./example_data_PDF/868273.pdf
7,96.0,0.0,Other reserves,Other reserves 440000 440000,440000,2014.0,£000,./example_data_PDF/868273.pdf
8,95.0,1.0,Cash flow hedge reserve,Cash flow hedge reserve 4435 2527,4435,2015.0,£000,./example_data_PDF/868273.pdf
9,96.0,0.0,Cash flow hedge reserve,Cash flow hedge reserve 4435 2527,2527,2014.0,£000,./example_data_PDF/868273.pdf
10,96.0,1.0,Pension reserve,Pension reserve 20 808100 974400,808100,2015.0,£000,./example_data_PDF/868273.pdf
11,91.0,0.0,Pension reserve,Pension reserve 20 808100 974400,974400,2014.0,£000,./example_data_PDF/868273.pdf
12,96.0,1.0,Retained earnings,Retained earnings 116889 195296,116889,2015.0,£000,./example_data_PDF/868273.pdf
13,95.0,0.0,Retained earnings,Retained earnings 116889 195296,195296,2014.0,£000,./example_data_PDF/868273.pdf
14,96.0,1.0,Total equity,Total equity 94290 152325,94290,2015.0,£000,./example_data_PDF/868273.pdf
15,96.0,0.0,Total equity,Total equity 94290 152325,152325,2014.0,£000,./example_data_PDF/868273.pdf
0,96.0,1.0,Note,Note 000 000 000 000,000,2016.0,£000,./example_data_PDF/01369166.pdf
1,96.0,0.0,Note,Note 000 000 000 000,000,2015.0,£000,./example_data_PDF/01369166.pdf
2,96.0,1.0,Intangible assets,Intangible assets 11 373 486,373,2016.0,£000,./example_data_PDF/01369166.pdf
3,96.0,0.0,Intangible assets,Intangible assets 11 373 486,486,2015.0,£000,./example_data_PDF/01369166.pdf
4,96.0,1.0,Tangible assets,Tangible assets 12 13912 13646,13912,2016.0,£000,./example_data_PDF/01369166.pdf
5,96.0,0.0,Tangible assets,Tangible assets 12 13912 13646,13646,2015.0,£000,./example_data_PDF/01369166.pdf
6,96.0,1.0,Investments,Investments 13 49 49,49,2016.0,£000,./example_data_PDF/01369166.pdf
7,96.0,0.0,Investments,Investments 13 49 49,49,2015.0,£000,./example_data_PDF/01369166.pdf
8,96.0,1.0,Current assets inventories,inventories 14 9524 9995,9524,2016.0,£000,./example_data_PDF/01369166.pdf
9,96.0,0.0,Current assets inventories,inventories 14 9524 9995,9995,2015.0,£000,./example_data_PDF/01369166.pdf
10,96.0,1.0,Debtors,Debtors 15 61335 70052,61335,2016.0,£000,./example_data_PDF/01369166.pdf
11,96.0,0.0,Debtors,Debtors 15 61335 70052,70052,2015.0,£000,./example_data_PDF/01369166.pdf
12,97.0,1.0,Cash at bank and in hand,Cash at bank and in hand 1 2,1,2016.0,£000,./example_data_PDF/01369166.pdf
13,94.0,0.0,Cash at bank and in hand,Cash at bank and in hand 1 2,2,2015.0,£000,./example_data_PDF/01369166.pdf
14,96.0,1.0,Creditors amounts falling due,Creditors amounts falling due 16 18711 27022,18711,2016.0,£000,./example_data_PDF/01369166.pdf
