,Element Count,Element Name,Of Which are Numerical,source
285,26.0,decreaseincreaseinnetdebtresultingfromcashflows,26.0,uk-gaap-full
286,25.0,dividendswithdrawnfromtotalreserves,25.0,uk-gaap-full
288,25.0,cashinhand,25.0,uk-gaap-full
289,25.0,prepaymentsaccruedincomecurrentassetduewithinoneyear,25.0,uk-gaap-full
291,24.0,tradecreditorsafteroneyear,24.0,uk-gaap-full
294,23.0,fixedassetinvestmentsincreasedecreasefromrevaluations,23.0,uk-gaap-full
295,22.0,increasedecreaseincashbankinhandexcludingexchangeadjustments,22.0,uk-gaap-full
296,21.0,interestreceivableonshort-terminvestmentsloansdeposits,21.0,uk-gaap-full
297,21.0,standardnominaltaxrate,21.0,uk-gaap-full
301,20.0,increasedecreaseinukcorporationtaxarisingfromadjustmentforpriorperiods,20.0,uk-gaap-full
305,17.0,deferredtaxcurrentasset,17.0,uk-gaap-full
306,16.0,unrealisedgainlossontradeinvestmentsnotunderfrs26,16.0,uk-gaap-full
307,16.0,capitalallowancesinexcessdepreciationleadingtodecreaseincreaseintax,16.0,uk-gaap-full
309,16.0,netincreasedecreaseinshareholdersfunds,16.0,uk-gaap-full
310,16.0,companycontributionstodefinedbenefitschemesdirectors,16.0,uk-gaap-full
311,16.0,otherloansafterfiveyearsnotbyinstalments,16.0,uk-gaap-full
312,16.0,percentagesubsidiaryheldbydirectholdings,16.0,uk-gaap-full
313,16.0,totalrecognisedgainlossforperiod,16.0,uk-gaap-full
315,15.0,costtangiblefixedassetsonhistoricalcostbasis,15.0,uk-gaap-full
318,14.0,operatingleasesexpiringbetweentwofiveyears,14.0,uk-gaap-full
323,14.0,bankoverdraftssecured,14.0,uk-gaap-full
327,13.0,amountsowedbygroupundertakingsotherparticipatinginterests,13.0,uk-gaap-full
328,13.0,expensesnotdeductiblefortaxpurposes,13.0,uk-gaap-full
329,13.0,profitlossonordinaryactivitiesbeforefinancechargesinterest,13.0,uk-gaap-full
331,13.0,tangiblefixedassetsdepreciationincreasedecreasefromtransfersbetweenitems,13.0,uk-gaap-full
334,12.0,paymentsreceivedonaccountwithinoneyear,12.0,uk-gaap-full
335,12.0,tangiblefixedassetsdepreciationincreasedecreasefromrevaluations,12.0,uk-gaap-full
337,11.0,corporationtaxdueafteroneyear,11.0,uk-gaap-full
338,11.0,revaluationsurplusinperiod,11.0,uk-gaap-full
341,10.0,amountsowedtorelatedpartiesafteroneyear,10.0,uk-gaap-full
342,10.0,percentageparticipatinginterestorinvestmentheld,10.0,uk-gaap-full
344,10.0,amountsowedtogroupundertakingsotherparticipatinginterestsafteroneyear,10.0,uk-gaap-full
346,9.0,amountsowedtootherparticipatinginterestswithinoneyear,9.0,uk-gaap-full
349,9.0,bankborrowingsdebenturesafterfiveyears,9.0,uk-gaap-full
350,9.0,redemptionvalueredeemablepreferenceshare,9.0,uk-gaap-full
352,9.0,finalpayment,9.0,uk-gaap-full
353,8.0,baddebtswrittenoff,8.0,uk-gaap-full
354,8.0,otheroperatingleasesexpiringwithinoneyear,8.0,uk-gaap-full
356,8.0,investmentincome-net,8.0,uk-gaap-full
360,8.0,accrualsdeferredincomeafteroneyear,8.0,uk-gaap-full
361,8.0,otheroperatingleasesexpiringbetweentwofiveyears,8.0,uk-gaap-full
362,8.0,pensionscostsdefinedcontributionschemes,8.0,uk-gaap-full
363,7.0,unlistedinvestments,7.0,uk-gaap-full
364,7.0,operatingleaseexpenditure,7.0,uk-gaap-full
365,7.0,listedinvestments,7.0,uk-gaap-full
366,7.0,operatingleasesexpiringwithinoneyear,7.0,uk-gaap-full
367,7.0,increasedecreaseinuktaxfromoriginationreversaltimingdifferences,7.0,uk-gaap-full
368,7.0,totalukforeigndeferredtax,7.0,uk-gaap-full
369,7.0,taxlossesavailable,7.0,uk-gaap-full
372,7.0,amountsowedbyotherparticipatinginterestswithinoneyear,7.0,uk-gaap-full
373,7.0,increasedecreaseinnetcashforperiod,7.0,uk-gaap-full
374,7.0,foreignexchangegainlossrecognisedinprofitloss,7.0,uk-gaap-full
376,6.0,operatingleasesexpiringafterfiveyears,6.0,uk-gaap-full
377,6.0,amortisationimpairmentreversalintangiblefixedassets,6.0,uk-gaap-full
380,6.0,taxationexpensecredit,6.0,uk-gaap-full
383,5.0,amountsowedtootherparticipatinginterestsafteroneyear,5.0,uk-gaap-full
385,5.0,tangiblefixedassetsimpairmentlosses,5.0,uk-gaap-full
386,5.0,otherinterestreceivable,5.0,uk-gaap-full
387,5.0,long-termborrowingsbookvalue,5.0,uk-gaap-full
388,5.0,fixedassetinvestmentsprovisionsprovidedinperiod,5.0,uk-gaap-full
391,5.0,corporationtaxrecoverablecurrentassetduewithinoneyear,5.0,uk-gaap-full
392,5.0,decreaseincreaseinnetdebtduringperiod,5.0,uk-gaap-full
394,5.0,calledupsharecapitalnot-paidcurrentassetduewithinoneyear,5.0,uk-gaap-full
395,5.0,othertaxationsocialsecuritydueafteroneyear,5.0,uk-gaap-full
396,5.0,incomefromsharesinsubsidiariesgroupundertakings,5.0,uk-gaap-full
398,5.0,amountswrittenoffbackinvestments,5.0,uk-gaap-full
400,4.0,pensioncostsdefinedcontributionscheme,4.0,uk-gaap-full
401,4.0,percentageclasscapitalsubsidiaryheldbydirectholdings,4.0,uk-gaap-full
403,4.0,effectivecurrenttaxrate,4.0,uk-gaap-full
405,4.0,revaluationreserveinvestmentproperties,4.0,uk-gaap-full
406,4.0,commitmentsundernon-cancellableoperatingleasestotal,4.0,uk-gaap-full
408,4.0,othercreditorsincludingtaxationsocialsecuritywithinoneyearsubtotal,4.0,uk-gaap-full
409,4.0,considerationreceivedforsharesallottedduringperiod,4.0,uk-gaap-full
410,4.0,bankborrowingsdebenturesduewithinoneyear,4.0,uk-gaap-full
411,4.0,intangiblefixedassetsimpairmentlosses,4.0,uk-gaap-full
416,4.0,gainlossfromdisposaltangiblefixedassets,4.0,uk-gaap-full
419,4.0,percentageclasscapitalsubsidiaryheld,4.0,uk-gaap-full
421,4.0,loansfixedassetinvestmentscost,4.0,uk-gaap-full
423,3.0,sharesinsubsidiariesheldforsale,3.0,uk-gaap-full
424,3.0,commitmentsundernon-cancellableoperatingleasesotheritems,3.0,uk-gaap-full
425,3.0,amountsowedtoassociateswithinoneyear,3.0,uk-gaap-full
428,3.0,workinprogressinrespectlong-termcontracts,3.0,uk-gaap-full
429,3.0,stockspaymentsonaccount,3.0,uk-gaap-full
430,3.0,provisionsutilisedduringperiod,3.0,uk-gaap-full
431,3.0,accruedexpenses,3.0,uk-gaap-full
432,3.0,utilisationtaxlosses,3.0,uk-gaap-full
434,3.0,totalcreditors,3.0,uk-gaap-full
435,3.0,fixedassetinvestmentsimpairmentlossesamountswrittenoff,3.0,uk-gaap-full
436,3.0,fixedassetinvestmentsretainedprofitslesslosses,3.0,uk-gaap-full
437,3.0,gainlossonsalesfixedassetinvestments,3.0,uk-gaap-full
438,3.0,short-termdeposits,3.0,uk-gaap-full
440,3.0,amountsowedbygroupundertakingsotherparticipatinginterestsafteroneyear,3.0,uk-gaap-full
443,3.0,fixedassetinvestmentssharepost-acquisitionreserves,3.0,uk-gaap-full
444,3.0,vatdueafteroneyear,3.0,uk-gaap-full
445,3.0,intangiblefixedassetsamortisationincreasedecreasefromtransfersbetweenitems,3.0,uk-gaap-full
446,3.0,percentagecalled-upsharecapitalrepresentedbypurchasesduringperiod,3.0,uk-gaap-full
448,3.0,othercurrentassetinvestmentsheldforsale,3.0,uk-gaap-full
450,3.0,totalissuedclasscapitalsubsidiary,3.0,uk-gaap-full
452,3.0,premiumonshareissues-net,3.0,uk-gaap-full
453,3.0,tangiblefixedassetsincreasedecreasefromexchangeadjustments,3.0,uk-gaap-full
454,2.0,landbuildingsoperatingleasesexpiringwithinoneyear,2.0,uk-gaap-full
455,2.0,capitalgrant,2.0,uk-gaap-full
456,2.0,revaluationsurplusinperiodinvestmentproperties,2.0,uk-gaap-full
457,2.0,transfertofromprofitlossaccountreservefromtocapitalredemptionreserve,2.0,uk-gaap-full
458,2.0,governmentgrantsafteroneyear,2.0,uk-gaap-full
459,2.0,purchaseownsharesdecreaseincreaseintotalreserves,2.0,uk-gaap-full
460,2.0,paymentsreceivedonaccountafteroneyear,2.0,uk-gaap-full
462,2.0,landbuildingsoperatingleasesexpiringbetweentwofiveyears,2.0,uk-gaap-full
463,2.0,aggregatedepreciationonleasedassetsincludedintangiblefixedassets,2.0,uk-gaap-full
464,2.0,pensionassetliability,2.0,uk-gaap-full
465,2.0,provisionsunwindingdiscountedamount,2.0,uk-gaap-full
469,2.0,percentagejoint-ventureheld,2.0,uk-gaap-full
470,2.0,otheroperatingleasesexpiringafterfiveyears,2.0,uk-gaap-full
472,2.0,unlistedinvestmentsincludedinfixedassetinvestmentscarriedonhistoricalcostbasis,2.0,uk-gaap-full
475,2.0,percentageassociateheldbydirectholdings,2.0,uk-gaap-full
476,2.0,increasedecreaseincapitalgrantduringperiod,2.0,uk-gaap-full
477,2.0,profitlostaccountreserveexcludingpensionreserve,2.0,uk-gaap-full
478,2.0,cashflowoutflowbeforemanagementliquidresourcesfinancing,2.0,uk-gaap-full
479,2.0,amountloandueafterfiveyears,2.0,uk-gaap-full
481,1.0,provisionfordoubtfuldebtduefromrelatedparty,1.0,uk-gaap-full
482,1.0,fixedassetinvestmentsreservesotherincreasedecrease,1.0,uk-gaap-full
485,1.0,cumulativepreferencesharedividendsunpaidafteroneyear,1.0,uk-gaap-full
488,1.0,parvalueclasscapitalsubsidiary,1.0,uk-gaap-full
490,1.0,secureddebenturesotherloanstotalliability,1.0,uk-gaap-full
492,1.0,non-taxableincome,1.0,uk-gaap-full
493,1.0,amountwrittenoffinperiodinrespectdebtduefromrelatedparty,1.0,uk-gaap-full
494,1.0,corporationtaxrecoverablecurrentasset,1.0,uk-gaap-full
495,1.0,leasedassetsincludedintangiblefixedassets ,1.0,uk-gaap-full
496,1.0,interestbearingborrowings,1.0,uk-gaap-full
498,1.0,otherloansloansreceivables,1.0,uk-gaap-full
500,1.0,tangiblefixedassetsotherincreasedecrease,1.0,uk-gaap-full
502,1.0,debtdueafteroneyear,1.0,uk-gaap-full
504,1.0,aggregatedividendsduebalancesheetdate,1.0,uk-gaap-full
505,1.0,increasedecreaseindebtdueafteroneyearreflectedincashoutflowinflow,1.0,uk-gaap-full
506,1.0,amountsowedtoassociatesafteroneyear,1.0,uk-gaap-full
507,1.0,fixedassetinvestmentsprovisionsdisposals,1.0,uk-gaap-full
509,1.0,increasedecreaseincreditors,1.0,uk-gaap-full
510,1.0,aggregatedepreciationontangiblefixedassetsonhistoricalcostbasis,1.0,uk-gaap-full
511,1.0,cashflowoutflowfromoperatingactivities,1.0,uk-gaap-full
513,1.0,amountsrecoverableoncontractswithinoneyear,1.0,uk-gaap-full
514,1.0,adjustmentforpriorperiodsleadingtoanincreasedecreaseintaxcharge,1.0,uk-gaap-full
515,1.0,amountsowedtoparentundertakingafteroneyear,1.0,uk-gaap-full
517,1.0,accountancyfeesadministrativeexpenses,1.0,uk-gaap-full
520,1.0,amountsowedbyassociateswithinoneyear,1.0,uk-gaap-full
523,1.0,redeemablepreferenceshares,1.0,uk-gaap-full
524,1.0,fixedassetinvestmentsincreasedecreasefromexchangeadjustments,1.0,uk-gaap-full
525,1.0,purchaseownsharesdecreaseincreaseinsharepremiumaccount,1.0,uk-gaap-full
526,1.0,insuranceadministrativeexpenses,1.0,uk-gaap-full
528,1.0,intangiblefixedassetsincreasedecreasefromexchangeadjustment,1.0,uk-gaap-full
529,1.0,intangiblefixedassetsamortisationincreasedecreasefromrevaluations,1.0,uk-gaap-full
530,1.0,increasedecreaseinbankoverdraftsexcludingexchangeadjustments,1.0,uk-gaap-full
532,1.0,amountsowedtoparentundertakingwithinoneyear,1.0,uk-gaap-full
533,1.0,billsexchangewithinoneyear,1.0,uk-gaap-full
535,1.0,netinterestpayablereceivable,1.0,uk-gaap-full
538,1.0,sundryexpensesadministrativeexpenses,1.0,uk-gaap-full
539,1.0,basicsalesrevenue,1.0,uk-gaap-full
1,264841.0,dateapprovalaccounts,0.0,uk-gaap-full
3,264841.0,namedirectorsigningaccounts,0.0,uk-gaap-full
4,264841.0,entitydormant,0.0,uk-gaap-full
7,264841.0,entitytrading,0.0,uk-gaap-full
9,264837.0,directorsacknowledgetheirresponsibilitiesundercompaniesact,0.0,uk-gaap-full
10,264833.0,accountsareinaccordancewithspecialprovisionscompaniesactrelatingtosmallcompanies,0.0,uk-gaap-full
11,264819.0,membershavenotrequiredcompanytoobtainanaudit,0.0,uk-gaap-full
15,176452.0,companyentitledtoexemptionundersection477companiesact2006,0.0,uk-gaap-full
25,113269.0,companyhasactedasanagentduringperiod,0.0,uk-gaap-full
28,88366.0,companyentitledtoexemptionundersection480companiesact2006relatingtodormantcompanies,0.0,uk-gaap-full
31,72010.0,statementonbasismeasurementpreparationaccounts,0.0,uk-gaap-full
34,57003.0,turnoverpolicy,0.0,uk-gaap-full
35,50840.0,nameauthor,0.0,uk-gaap-full
36,50840.0,descriptionortitleauthor,0.0,uk-gaap-full
41,35950.0,businessreportname,0.0,uk-gaap-full
45,32640.0,descriptiondepreciationmethodrateorusefuleconomiclifefortangiblefixedassets,0.0,uk-gaap-full
46,32619.0,accountspreparedunderhistoricalcostconventioninaccordancewithfrsse,0.0,uk-gaap-full
48,30848.0,companyexemptfrompreparingcashflowstatementunderfrs1,0.0,uk-gaap-full
50,28253.0,legalformofentity,0.0,uk-gaap-full
52,27319.0,namethirdpartyagent,0.0,uk-gaap-full
53,27217.0,descriptionperiodcoveredbyreport,0.0,uk-gaap-full
55,27214.0,entityaccountstype,0.0,uk-gaap-full
56,26799.0,relatedpartytransactionexemptionbeingclaimed,0.0,uk-gaap-full
59,26073.0,accountshavebeenpreparedinaccordancewithprovisionssmallcompaniesregime,0.0,uk-gaap-full
66,19256.0,tangiblefixedassetspolicy,0.0,uk-gaap-full
69,10561.0,controllingpartyultimatecontrollingparty,0.0,uk-gaap-full
71,10019.0,statementthattherewerenogainslossesinperiodotherthanthoseinprofitlossaccount,0.0,uk-gaap-full
72,8511.0,principledocumentauthor,0.0,uk-gaap-full
80,5024.0,xbrldocumentcreationdate,0.0,uk-gaap-full
81,4712.0,taxationdeferredtaxationpolicy,0.0,uk-gaap-full
83,4304.0,xbrldocumentfilename,0.0,uk-gaap-full
84,4209.0,directorsigningreport,0.0,uk-gaap-full
87,3763.0,descriptiongoodwillintangibleassetamortisationmethodperiods,0.0,uk-gaap-full
91,3546.0,stocksworkinprogresslong-termcontractspolicy,0.0,uk-gaap-full
92,3526.0,directorsadvancescreditguaranteesfree-textcomment,0.0,uk-gaap-full
99,3120.0,financialinstrumentspolicy,0.0,uk-gaap-full
108,2300.0,descriptionspecificadvanceorcredititsconditionsdirectors,0.0,uk-gaap-full
109,2159.0,accountshavebeendeliveredinaccordancewithprovisionssmallcompaniesregime,0.0,uk-gaap-full
111,2104.0,descriptionorotherinformationonthirdpartyagent,0.0,uk-gaap-full
112,1809.0,descriptionorreasonsforshareissue,0.0,uk-gaap-full
120,1474.0,valuationinformationpolicy,0.0,uk-gaap-full
121,1339.0,pensionsschemepolicy,0.0,uk-gaap-full
122,1278.0,descriptiontransactiongeneralamountsinvolved,0.0,uk-gaap-full
126,1022.0,lesseefinanceleasehirepurchasecontractspolicy,0.0,uk-gaap-full
127,1008.0,fixedassetinvestmentsfree-textcomment,0.0,uk-gaap-full
131,934.0,calledupsharecapitalfree-textcomment,0.0,uk-gaap-full
132,929.0,tangiblefixedassetsfree-textcomment,0.0,uk-gaap-full
133,873.0,namesrelatedpartiesinvolvedintransaction,0.0,uk-gaap-full
135,850.0,entityinadministration,0.0,uk-gaap-full
136,850.0,entityinliquidation,0.0,uk-gaap-full
137,850.0,entityinreceivership,0.0,uk-gaap-full
138,838.0,businessreportprincipallanguage,0.0,uk-gaap-full
139,836.0,descriptionrelationshipbetweenparties,0.0,uk-gaap-full
142,791.0,principalactivitysubsidiary,0.0,uk-gaap-full
143,787.0,descriptionguarantee,0.0,uk-gaap-full
148,720.0,includedinconsolidationsubsidiary,0.0,uk-gaap-full
149,719.0,entityinvoluntaryliquidation,0.0,uk-gaap-full
150,719.0,entityundercompanyvoluntaryarrangement,0.0,uk-gaap-full
151,719.0,entityininsolventliquidation,0.0,uk-gaap-full
152,719.0,xbrldocumentlasteditdate,0.0,uk-gaap-full
153,719.0,entityincompulsoryliquidation,0.0,uk-gaap-full
156,670.0,foreigncurrencytranslationpolicies,0.0,uk-gaap-full
161,597.0,goingconcernstatements,0.0,uk-gaap-full
168,522.0,lesseepolicies,0.0,uk-gaap-full
169,488.0,accountingperiodsubsidiary,0.0,uk-gaap-full
175,439.0,nameindividualauditororaccountant,0.0,uk-gaap-full
189,290.0,fixedassetinvestmentspolicy,0.0,uk-gaap-full
191,284.0,investmentpropertiespolicy,0.0,uk-gaap-full
192,279.0,countryincorporationsubsidiary,0.0,uk-gaap-full
202,220.0,intangiblefixedassetsfree-textcomment,0.0,uk-gaap-full
205,202.0,revaluationpropertiespolicy,0.0,uk-gaap-full
211,152.0,politicalcharitabledonationsfree-textcomment,0.0,uk-gaap-full
219,109.0,statementthataccountsarepreparedinaccordancewithapplicableaccountingstandards,0.0,uk-gaap-full
222,98.0,governmentgrantpolicies,0.0,uk-gaap-full
226,88.0,principalactivityassociate,0.0,uk-gaap-full
232,71.0,descriptionmethodascertainingattributableprofit,0.0,uk-gaap-full
233,69.0,analysisbybusinesssegmentfree-textcomment,0.0,uk-gaap-full
234,68.0,descriptionmethodascertainingturnover,0.0,uk-gaap-full
238,62.0,descriptionbodyauthorisingaccountsforissue,0.0,uk-gaap-full
245,57.0,explanationifanentitywithsubsidiariesnotrequiredtopreparegroupaccounts,0.0,uk-gaap-full
261,36.0,descriptionchangeinaccountingpolicyitsimpact,0.0,uk-gaap-full
262,36.0,numberownsharespurchased,0.0,uk-gaap-full
264,35.0,currentassetsinvestmentspolicy,0.0,uk-gaap-full
265,35.0,descriptionpostbalancesheeteventestimateitsfinancialeffect,0.0,uk-gaap-full
267,34.0,creditorsdueafteroneyearfree-textcomment,0.0,uk-gaap-full
268,33.0,countryincorporationassociate,0.0,uk-gaap-full
269,33.0,descriptionreasonswhydeferredtaxassetshouldberecognised,0.0,uk-gaap-full
270,33.0,descriptiontreatmentforeignexchangedifferences,0.0,uk-gaap-full
275,31.0,creditorsduewithinoneyearfree-textcomment,0.0,uk-gaap-full
278,29.0,descriptiontranslationamountsinforeigncurrenciesincludingresultsforeignentities,0.0,uk-gaap-full
283,26.0,detailedprofitlossstatementfree-textcomment,0.0,uk-gaap-full
284,26.0,descriptionclasscapitalsubsidiary,0.0,uk-gaap-full
287,25.0,linkswithgroupcompaniesfree-textcomment,0.0,uk-gaap-full
290,24.0,stocksfree-textcomment,0.0,uk-gaap-full
300,20.0,operatingcostscreditsfree-textcomment,0.0,uk-gaap-full
303,18.0,lessorfinanceleasehirepurchasecontractspolicy,0.0,uk-gaap-full
316,15.0,creditorsborrowingsfree-textcomment,0.0,uk-gaap-full
317,15.0,nameotherparticipatinginterestorinvestment,0.0,uk-gaap-full
319,14.0,additionaldescriptionspecifictangiblefixedassetsifrequired,0.0,uk-gaap-full
320,14.0,namequalificationsvaluerorvaluersorganisation,0.0,uk-gaap-full
321,14.0,financecostsinterestpolicy,0.0,uk-gaap-full
322,14.0,datevaluationtangiblefixedassets,0.0,uk-gaap-full
