variable,value,record
descriptionreasonwhyentityhasnotpreparedconsolidatedfinancialstatements,The financial statements contain information about A. E. Southgate Limited as an individual companyand do not contain consolidated financial information as the parent of a group. The company has takenthe option under Section 398 of the Companies Act 2006 not to prepare consolidated financialstatements. ,1
descriptionreasonwhyentityhasnotpreparedconsolidatedfinancialstatements,The financial statements contain information about ACR EPOS Systems Limited as an individual company anddo not contain consolidated financial information as the parent of a group. The company has taken the optionunder Section 398 of the Companies Act 2006 not to prepare consolidated financial statements. ,1
descriptionreasonwhyentityhasnotpreparedconsolidatedfinancialstatements,The financial statements contain information about AK Partnership Limited as an individual companyand do not contain consolidated financial information as the parent of a group. The company has takenthe option under Section 398 of the Companies Act 2006 not to prepare consolidated financialstatements. ,1
descriptionreasonwhyentityhasnotpreparedconsolidatedfinancialstatements,The financial statements contain information about AMJC Holdings Limited as an individual company and donot contain consolidated financial information as the parent of a group. The company has taken the option underSection 398 of the Companies Act 2006 not to prepare consolidated financial statements. ,1
descriptionreasonwhyentityhasnotpreparedconsolidatedfinancialstatements,The financial statements contain information about AT & MS Limited as an individual company and do notcontain consolidated financial information as the parent of a group. The company has taken the option underSection 398 of the Companies Act 2006 not to prepare consolidated financial statements. ,1
descriptionreasonwhyentityhasnotpreparedconsolidatedfinancialstatements,The financial statements contain information about Access Consulting Group Limited as an individual companyand do not contain consolidated financial information as the parent of a group. The company has taken theoption under Section 398 of the Companies Act 2006 not to prepare consolidated financial statements. ,1
descriptionreasonwhyentityhasnotpreparedconsolidatedfinancialstatements,The financial statements contain information about Accumix Holdings Limited as an individual company and donot contain consolidated financial information as the parent of a group. The company has taken the optionunder Section 398 of the Companies Act 2006 not to prepare consolidated financial statements. ,1
descriptionreasonwhyentityhasnotpreparedconsolidatedfinancialstatements,The financial statements contain information about Air Conditioning Development Holdings Limitedas an individual company and do not contain consolidated financial information as the parent of agroup. The company has taken the option under Section 398 of the Companies Act 2006 not toprepare consolidated financial statements. ,1
descriptionreasonwhyentityhasnotpreparedconsolidatedfinancialstatements,The financial statements contain information about Alston Garrard & Co Limited as an individual company anddo not contain consolidated financial information as the parent of a group. The company has taken the optionunder Section 398 of the Companies Act 2006 not to prepare consolidated financial statements. ,1
descriptionreasonwhyentityhasnotpreparedconsolidatedfinancialstatements,The financial statements contain information about Amja Limited as an individual company and donot contain consolidated financial information as the parent of a group. The company has taken theoption under Section 398 of the Companies Act 2006 not to prepare consolidated financialstatements. ,1
descriptionreasonwhyentityhasnotpreparedconsolidatedfinancialstatements,The financial statements contain information about Anamax Limited as an individual company and do not containconsolidated financial information as the parent of a group. The company has taken the option under Section 398 of theCompanies Act 2006 not to prepare consolidated financial statements. ,1
descriptionreasonwhyentityhasnotpreparedconsolidatedfinancialstatements,The financial statements contain information about Andre la Boutique Limited as an individualcompany and do not contain consolidated financial information as the parent of a group. The companyhas taken the option under Section 398 of the Companies Act 2006 not to prepare consolidatedfinancial statements. ,1
descriptionreasonwhyentityhasnotpreparedconsolidatedfinancialstatements,The financial statements contain information about Annabelle Properties Limited as an individual company anddo not contain consolidated financial information as the parent of a group. The company has taken the optionunder Section 398 of the Companies Act 2006 not to prepare consolidated financial statements. ,1
descriptionreasonwhyentityhasnotpreparedconsolidatedfinancialstatements,The financial statements contain information about Anthony Stephens (UK) Limited as an individual companyand do not contain consolidated financial information as the parent of a group. The company has taken the optionunder Section 398 of the Companies Act 2006 not to prepare consolidated financial statements. ,1
descriptionreasonwhyentityhasnotpreparedconsolidatedfinancialstatements,The financial statements contain information about Aquila Property Investments (UK) Ltd as an individualcompany and do not contain consolidated financial information as the parent of a group. The company has takenthe option under Section 398 of the Companies Act 2006 not to prepare consolidated financial statements. ,1
descriptionreasonwhyentityhasnotpreparedconsolidatedfinancialstatements,The financial statements contain information about Argonaut Holdings Limited as an individual company and do notcontain consolidated financial information as the parent of a group. The company has taken the option under Section 398 ofthe Companies Act 2006 not to prepare consolidated financial statements. ,1
descriptionreasonwhyentityhasnotpreparedconsolidatedfinancialstatements,The financial statements contain information about Arrowvend Limited as an individual company and do notcontain consolidated financial information as the parent of a group. The company has taken the option underSection 398 of the Companies Act 2006 not to prepare consolidated financial statements. ,1
descriptionreasonwhyentityhasnotpreparedconsolidatedfinancialstatements,The financial statements contain information about Arthur Stephenson (Engineers) Limited as an individualcompany and do not contain consolidated financial information as the parent of a group. The company is exemptunder Section 405 of the Companies Act 2006 from the requirements to prepare consolidated financialstatements as the inclusion of its subsidiary is not material for the purpose of giving a true and fair view.,1
descriptionreasonwhyentityhasnotpreparedconsolidatedfinancialstatements,The financial statements contain information about Ash Healthcare Group Limited as an individual company anddo not contain consolidated financial information as the parent of a group. The company has taken the optionunder Section 398 of the Companies Act 2006 not to prepare consolidated financial statements. ,1
descriptionreasonwhyentityhasnotpreparedconsolidatedfinancialstatements,The financial statements contain information about Ashe House Limited as an individual Company and do not containconsolidated financial information as the parent of a group. The director has taken the decision not to prepareconsolidated financial statements in accordance with Section 398 of the Companies Act 2006.,1
descriptionreasonwhyentityhasnotpreparedconsolidatedfinancialstatements,The financial statements contain information about Ashford Property Group Limited as an individual companyand do not contain consolidated financial information as the parent of a group. The company has taken the optionunder Section 398 of the Companies Act 2006 not to prepare consolidated financial statements. ,1
descriptionreasonwhyentityhasnotpreparedconsolidatedfinancialstatements,The financial statements contain information about Avenue (North East) Limited as an individual company anddo not contain consolidated financial information as the parent of a group. The company has taken the optionunder Section 398 of the Companies Act 2006 not to prepare consolidated financial statements. ,1
descriptionreasonwhyentityhasnotpreparedconsolidatedfinancialstatements,The financial statements contain information about Avongard Holdings Limited as an individual company and donot contain consolidated financial information as the parent of a group. The company has taken the option underSection 398 of the Companies Act 2006 not to prepare consolidated financial statements. ,1
descriptionreasonwhyentityhasnotpreparedconsolidatedfinancialstatements,The financial statements contain information about B L V H LIMITED as an individual company and do notcontain consolidated financial information as the parent of a group. The company has taken the option underSection 398 of the Companies Act 2006 not to prepare consolidated financial statements. ,1
descriptionreasonwhyentityhasnotpreparedconsolidatedfinancialstatements,The financial statements contain information about B S Povey 1 Limited as an individual company and do notcontain consolidated financial information as the parent of a group. The company has taken the option underSection 398 of the Companies Act 2006 not to prepare consolidated financial statements. ,1
descriptionreasonwhyentityhasnotpreparedconsolidatedfinancialstatements,The financial statements contain information about B.s. Povey (Winterbourne) Limited as an individual companyand do not contain consolidated financial information as the parent of a group. The company has taken the optionunder Section 398 of the Companies Act 2006 not to prepare consolidated financial statements. ,1
descriptionreasonwhyentityhasnotpreparedconsolidatedfinancialstatements,The financial statements contain information about Bells Power Group Limited as an individual company and donot contain consolidated financial information as the parent of a group. The company has taken the option underSection 398 of the Companies Act 2006 not to prepare consolidated financial statements. ,1
descriptionreasonwhyentityhasnotpreparedconsolidatedfinancialstatements,The financial statements contain information about Big Mallet Limited as an individual company and do notcontain consolidated financial information as the parent of a group. The company has taken the option underSection 398 of the Companies Act 2006 not to prepare consolidated financial statements. ,1
descriptionreasonwhyentityhasnotpreparedconsolidatedfinancialstatements,The financial statements contain information about Brands Direct Limited as an individualcompany and do not contain consolidated financial information as the parent of a group. Thecompany has taken the option under Section 398 of the Companies Act 2006 not to prepareconsolidated financial statements. ,1
descriptionreasonwhyentityhasnotpreparedconsolidatedfinancialstatements,The financial statements contain information about Brecor Holdings Limited as an individual company and do notcontain consolidated financial information as the parent of a group. The company has taken the option underSection 398 of the Companies Act 2006 not to prepare consolidated financial statements. ,1
descriptionreasonwhyentityhasnotpreparedconsolidatedfinancialstatements,The financial statements contain information about Brindisa Kitchens Limited as an individual companyand do not contain consolidated financial information as the parent of a group. The company has takenthe option under Section 398 of the Companies Act 2006 not to prepare consolidated financialstatements. ,1
descriptionreasonwhyentityhasnotpreparedconsolidatedfinancialstatements,The financial statements contain information about Brookline Properties Limited as an individual company anddo not contain consolidated financial information as the parent of a group. The company has taken the optionunder Section 398 of the Companies Act 2006 not to prepare consolidated financial statements. The company and its subsidiary undertaking comprise a small-sized group.,1
descriptionreasonwhyentityhasnotpreparedconsolidatedfinancialstatements,The financial statements contain information about Burleigh Travel Limited as an individual companyand do not contain consolidated financial information as the parent of a group. The company is exemptunder Section 399(2A) of the Companies Act 2006 from the requirements to prepare consolidatedfinancial statements. ,1
descriptionreasonwhyentityhasnotpreparedconsolidatedfinancialstatements,The financial statements contain information about C&M (Environmental) Limited as an individual company anddo not contain consolidated financial information as the parent of a group. The company has taken the optionunder Section 398 of the Companies Act 2006 not to prepare consolidated financial statements. ,1
descriptionreasonwhyentityhasnotpreparedconsolidatedfinancialstatements,The financial statements contain information about Cadre Components Limited as an individual company and donot contain consolidated financial information as the parent of a group. The company has taken the option underSection 398 of the Companies Act 2006 not to prepare consolidated financial statements. ,1
descriptionreasonwhyentityhasnotpreparedconsolidatedfinancialstatements,The financial statements contain information about Calcinotto Holdings Limited as an individual company and do notcontain consolidated financial information as the parent of a group. The company has taken the option under Section 398of the Companies Act 2006 not to prepare consolidated financial statements. ,1
descriptionreasonwhyentityhasnotpreparedconsolidatedfinancialstatements,The financial statements contain information about Calmcourt Limited as an individual company and do notcontain consolidated financial information as the parent of a group. The company has taken the option underSection 398 of the Companies Act 2006 not to prepare consolidated financial statements. ,1
descriptionreasonwhyentityhasnotpreparedconsolidatedfinancialstatements,The financial statements contain information about Cardview Limited as an individual company anddo not contain consolidated financial information as the parent of a group. The company has takenthe option under Section 398 of the Companies Act 2006 not to prepare consolidated financialstatements. ,1
descriptionreasonwhyentityhasnotpreparedconsolidatedfinancialstatements,The financial statements contain information about Centre Managers Limited as an individual company and donot contain consolidated financial information as the parent of a group. The company has taken the option underSection 398 of the Companies Act 2006 not to prepare consolidated financial statements. ,1
descriptionreasonwhyentityhasnotpreparedconsolidatedfinancialstatements,The financial statements contain information about Chiltern Training Group Limited as an individual companyand do not contain consolidated financial information as the parent of a group. The company has taken the optionunder Section 398 of the Companies Act 2006 not to prepare consolidated financial statements. ,1
descriptionreasonwhyentityhasnotpreparedconsolidatedfinancialstatements,The financial statements contain information about China Garden Haddington Limited as anindividual company and do not contain consolidated financial information as the parent of a group.The company has taken the option under Section 398 of the Companies Act 2006 not to prepareconsolidated financial statements. ,1
descriptionreasonwhyentityhasnotpreparedconsolidatedfinancialstatements,The financial statements contain information about Chromolyte Limited as an individual company and do notcontain consolidated financial information as the parent of a group. The company has taken the option underSection 398 of the Companies Act 2006 not to prepare consolidated financial statements. ,1
descriptionreasonwhyentityhasnotpreparedconsolidatedfinancialstatements,The financial statements contain information about City Centre Commercials Waste Limited as an individualcompany and do not contain consolidated financial information as the parent of a group. The company hastaken the option under Section 398 of the Companies Act 2006 not to prepare consolidated financialstatements. ,1
descriptionreasonwhyentityhasnotpreparedconsolidatedfinancialstatements,The financial statements contain information about Clearscaff Holdings Limited as an individualcompany and do not contain consolidated financial information as the parent of a group. The companyhas taken the option under Section 398 of the Companies Act 2006 not to prepare consolidatedfinancial statements. ,1
descriptionreasonwhyentityhasnotpreparedconsolidatedfinancialstatements,The financial statements contain information about Cloud Booking Limited as an individual companyand do not contain consolidated financial information as the parent of a group. The company hastaken the option under Section 398 of the Companies Act 2006 not to prepare consolidated financialstatements. ,1
descriptionreasonwhyentityhasnotpreparedconsolidatedfinancialstatements,The financial statements contain information about Commercial Asset Security Limited as an individualcompany and do not contain consolidated financial information as the parent of a group. The company has takenthe option under Section 398 of the Companies Act 2006 not to prepare consolidated financial statements. ,1
descriptionreasonwhyentityhasnotpreparedconsolidatedfinancialstatements,The financial statements contain information about Concord Environmental Technologies Ltd as an individualCompany and do not contain consolidated financial information as the parent of a group. The Company hastaken the option under Section 398 of the Companies Act 2006 not to prepare consolidated financial statements.,1
descriptionreasonwhyentityhasnotpreparedconsolidatedfinancialstatements,The financial statements contain information about Conifercourt Holdings Limited as an individual company anddo not contain consolidated financial information as the parent of a group. The company has taken the optionunder Section 398 of the Companies Act 2006 not to prepare consolidated financial statements. ,1
descriptionreasonwhyentityhasnotpreparedconsolidatedfinancialstatements,The financial statements contain information about Contact Holdings Limited as an individual company and donot contain consolidated financial information as the parent of a group. The company has taken the option underSection 398 of the Companies Act 2006 not to prepare consolidated financial statements. ,1
descriptionreasonwhyentityhasnotpreparedconsolidatedfinancialstatements,"The financial statements contain information about Contour Fine Tooling Limited as an individualcompany and do not contain consolidated financial information as the parent of a group.  Thecompany is exempt under Section 400 of the Companies Act 2006 from the requirements to prepareconsolidated financial statements as it and its subsidiary undertaking are included by fullconsolidation in the consolidated financial statements of its parent, Diamond Tools Group B.V., DeVest 1C, 5555 XL Valkenswaard, The Netherlands. ",1
descriptionreasonwhyentityhasnotpreparedconsolidatedfinancialstatements,The financial statements contain information about Contract Design (Northern) Limited as an individualcompany and do not contain consolidated financial information as the parent of a group. The companyhas taken the option under Section 398 of the Companies Act 2006 not to prepare consolidatedfinancial statements. ,1
descriptionreasonwhyentityhasnotpreparedconsolidatedfinancialstatements,"The financial statements contain information about Croscard Limited as an individual company and do notcontain consolidated financial information as the parent of a group.  The company has taken the option underSection 399 of the Companies Act 2006 not to prepare consolidated financial statements, on the basis of beingsubject to the small companies regime.",1
descriptionreasonwhyentityhasnotpreparedconsolidatedfinancialstatements,The financial statements contain information about Crown Group Solutions Limited as an individualcompany and do not contain consolidated financial information as the parent of a group. The companyhas taken the option under Section 398 of the Companies Act 2006 not to prepare consolidatedfinancial statements. ,1
descriptionreasonwhyentityhasnotpreparedconsolidatedfinancialstatements,The financial statements contain information about D. J. Banks Limited as an individual companyand do not contain consolidated financial information as the parent of a group. The company hastaken the option under Section 398 of the Companies Act 2006 not to prepare consolidated financialstatements. ,1
descriptionreasonwhyentityhasnotpreparedconsolidatedfinancialstatements,The financial statements contain information about D.J. Murphy Publishing Management Limited as anindividual company and do not contain consolidated financial information as the parent of a group. Thecompany has taken the option under Section 398 of the Companies Act 2006 not to prepareconsolidated financial statements. ,1
descriptionreasonwhyentityhasnotpreparedconsolidatedfinancialstatements,The financial statements contain information about DBI Support Services Limited as an individual company anddo not contain consolidated financial information as the parent of a group. The company has taken the optionunder Section 398 of the Companies Act 2006 not to prepare consolidated financial statements. ,1
descriptionreasonwhyentityhasnotpreparedconsolidatedfinancialstatements,The financial statements contain information about DIFRENT LTD as an individual company and do not containconsolidated financial information as the parent of a group. The company has taken the option under Section398 of the Companies Act 2006 not to prepare consolidated financial statements. ,1
descriptionreasonwhyentityhasnotpreparedconsolidatedfinancialstatements,The financial statements contain information about Denton Brothers Limited as an individual companyand do not contain consolidated financial information as the parent of a group. The company has takenthe option under Section 398 of the Companies Act 2006 not to prepare consolidated financialstatements. ,1
descriptionreasonwhyentityhasnotpreparedconsolidatedfinancialstatements,The financial statements contain information about Destination Events (Holdings) Limited as an individualcompany and do not contain consolidated financial information as the parent of a group. The company has takenthe option under Section 398 of the Companies Act 2006 not to prepare consolidated financial statements. ,1
descriptionreasonwhyentityhasnotpreparedconsolidatedfinancialstatements,The financial statements contain information about Domus Trump Ltd as an individual company and do notcontain consolidated financial information as the parent of a group. The company has taken the option underSection 398 of the Companies Act 2006 not to prepare consolidated financial statements. ,1
descriptionreasonwhyentityhasnotpreparedconsolidatedfinancialstatements,The financial statements contain information about Dourie Holdings Limited as an individual company and donot contain consolidated financial information as the parent of a group. The company has taken the option underSection 398 of the Companies Act 2006 not to prepare consolidated financial statements. ,1
descriptionreasonwhyentityhasnotpreparedconsolidatedfinancialstatements,The financial statements contain information about Drivespeed UK Limited as an individual company and do notcontain consolidated financial information as the parent of a group. The company has taken the option underSection 398 of the Companies Act 2006 not to prepare consolidated financial statements. ,1
descriptionreasonwhyentityhasnotpreparedconsolidatedfinancialstatements,The financial statements contain information about Dynamic Technical Concepts Holdings Ltd as an individual company anddo not contain consolidated financial information as the parent of a group. The company has taken the option under Section398 of the Companies Act 2006 not to prepare consolidated financial statements. ,1
descriptionreasonwhyentityhasnotpreparedconsolidatedfinancialstatements,The financial statements contain information about E C Medica Group UK Ltd as an individualcompany and do not contain consolidated financial information as the parent of a group. Thecompany has taken the option under Section 398 of the Companies Act 2006 not to prepareconsolidated financial statements. ,1
descriptionreasonwhyentityhasnotpreparedconsolidatedfinancialstatements,The financial statements contain information about E P Cambridge UK Limited as an individual company and donot contain consolidated financial information as the parent of a group. The company has taken the option underSection 398 of the Companies Act 2006 not to prepare consolidated financial statements. ,1
descriptionreasonwhyentityhasnotpreparedconsolidatedfinancialstatements,The financial statements contain information about E Tupling and Son Limited as an individual company and donot contain consolidated financial information as the parent of a group. The company has taken the option underSection 398 of the Companies Act 2006 not to prepare consolidated financial statements. ,1
descriptionreasonwhyentityhasnotpreparedconsolidatedfinancialstatements,The financial statements contain information about Eagerrefine Limited as an individual company and do notcontain consolidated financial information as the parent of a group. The company has taken the option underSection 398 of the Companies Act 2006 not to prepare consolidated financial statements. ,1
descriptionreasonwhyentityhasnotpreparedconsolidatedfinancialstatements,The financial statements contain information about Eaglechase Properties Limited as an individual company and do notcontain consolidated financial information as the parent of a group. The company has taken the option under Section 398 ofthe Companies Act 2006 not to prepare consolidated financial statements. ,1
descriptionreasonwhyentityhasnotpreparedconsolidatedfinancialstatements,The financial statements contain information about Edgemead Limited as an individual company and do notcontain consolidated financial information as the parent of a group. The company has taken the option underSection 398 of the Companies Act 2006 not to prepare consolidated financial statements. ,1
descriptionreasonwhyentityhasnotpreparedconsolidatedfinancialstatements,The financial statements contain information about Eleusis Holdings Limited as an individual company and donot contain consolidated financial information as the parent of a group. The company is exempt under Section399(2A) of the Companies Act 2006 from the requirements to prepare consolidated financial statements. ,1
descriptionreasonwhyentityhasnotpreparedconsolidatedfinancialstatements,The financial statements contain information about Elite Business Systems UK Limited as an individualcompany and do not contain consolidated financial information as the parent of a group. The company has takenthe option under Section 398 of the Companies Act 2006 not to prepare consolidated financial statements. ,1
descriptionreasonwhyentityhasnotpreparedconsolidatedfinancialstatements,The financial statements contain information about Email Hippo Limited as an individual company and do not containconsolidated financial information as the parent of a group. The company has taken the option under Section 398 of theCompanies Act 2006 not to prepare consolidated financial statements. ,1
descriptionreasonwhyentityhasnotpreparedconsolidatedfinancialstatements,The financial statements contain information about Erinway Limited as an individual company and donot contain consolidated financial information as the parent of a group. The company has taken theoption under Section 398 of the Companies Act 2006 not to prepare consolidated financial statements. ,1
descriptionreasonwhyentityhasnotpreparedconsolidatedfinancialstatements,"The financial statements contain information about Excel Fieldwork Limited as an individual company and donot contain consolidated financial information as the parent of a group.  The company is exempt under Section400 of the Companies Act 2006 from the requirements to prepare consolidated financial statements as it and itssubsidiary undertaking are included by full consolidation in the consolidated financial statements of its parent,A+A Research SAS, a company registered in France. ",1
descriptionreasonwhyentityhasnotpreparedconsolidatedfinancialstatements,The financial statements contain information about Faverdale Trading Limited as an individual company and donot contain consolidated financial information as the parent of a group. The company has taken the option underSection 398 of the Companies Act 2006 not to prepare consolidated financial statements. ,1
descriptionreasonwhyentityhasnotpreparedconsolidatedfinancialstatements,The financial statements contain information about Fion Holdings Limited as an individual company and do notcontain consolidated financial information as the parent of a group. The company has taken the option underSection 398 of the Companies Act 2006 not to prepare consolidated financial statements. ,1
descriptionreasonwhyentityhasnotpreparedconsolidatedfinancialstatements,The financial statements contain information about Fisher Darville Holdings Limited as an individual companyand do not contain consolidated financial information as the parent of a group. The company has taken the optionunder Section 398 of the Companies Act 2006 not to prepare consolidated financial statements. ,1
descriptionreasonwhyentityhasnotpreparedconsolidatedfinancialstatements,The financial statements contain information about Fisher Leak Group Limited as an individual company and donot contain consolidated financial information as the parent of a group. The company has taken the option underSection 398 of the Companies Act 2006 not to prepare consolidated financial statements. ,1
descriptionreasonwhyentityhasnotpreparedconsolidatedfinancialstatements,The financial statements contain information about Franchise Finance Limited as an individual company and donot contain consolidated financial information as the parent of a group. The company has taken the option underSection 398 of the Companies Act 2006 not to prepare consolidated financial statements. ,1
descriptionreasonwhyentityhasnotpreparedconsolidatedfinancialstatements,The financial statements contain information about GDO Limited as an individual company and do notcontain consolidated financial information as the parent of a group. The company has taken the optionunder Section 398 of the Companies Act 2006 not to prepare consolidated financial statements. ,1
descriptionreasonwhyentityhasnotpreparedconsolidatedfinancialstatements,The financial statements contain information about GW1114 Limited as an individual company and do notcontain consolidated financial information as the parent of a group. The company has taken the option underSection 398 of the Companies Act 2006 not to prepare consolidated financial statements. ,1
descriptionreasonwhyentityhasnotpreparedconsolidatedfinancialstatements,The financial statements contain information about Garry Brooks Limited as an individual company and do not containconsolidated financial information as the parent of a group. The company has taken the option under Section 398 of theCompanies Act 2006 not to prepare consolidated financial statements. ,1
